# Time;loaded vehicles [#]
0.00;2.00
1.00;2.00
2.00;2.00
3.00;2.00
4.00;2.00
5.00;2.00
6.00;2.00
7.00;2.00
8.00;2.00
9.00;2.00
10.00;2.00
11.00;2.00
12.00;2.00
13.00;2.00
14.00;2.00
15.00;2.00
16.00;2.00
17.00;2.00
18.00;2.00
19.00;2.00
20.00;2.00
21.00;2.00
22.00;2.00
23.00;2.00
24.00;2.00
25.00;2.00
26.00;2.00
27.00;2.00
28.00;2.00
29.00;2.00
30.00;2.00
31.00;2.00
32.00;2.00
33.00;2.00
34.00;2.00
35.00;2.00
36.00;2.00
37.00;2.00
38.00;2.00
39.00;2.00
40.00;2.00
41.00;2.00
42.00;2.00
43.00;2.00
44.00;2.00
45.00;2.00
46.00;2.00
47.00;2.00
48.00;2.00
49.00;2.00
50.00;2.00
51.00;2.00
52.00;2.00
53.00;2.00
54.00;2.00
55.00;2.00
56.00;2.00
57.00;2.00
58.00;2.00
59.00;2.00
60.00;2.00
61.00;2.00
62.00;2.00
63.00;2.00
64.00;2.00
65.00;2.00
66.00;2.00
67.00;2.00
68.00;2.00
69.00;2.00
70.00;2.00
71.00;2.00
72.00;2.00
73.00;2.00
74.00;2.00
75.00;2.00
76.00;2.00
77.00;2.00
78.00;2.00
79.00;2.00
80.00;2.00
81.00;2.00
82.00;2.00
83.00;2.00
84.00;2.00
85.00;2.00
86.00;2.00
87.00;2.00
88.00;2.00
89.00;2.00
90.00;2.00
91.00;2.00
92.00;2.00
93.00;2.00
94.00;2.00
95.00;2.00
96.00;2.00
97.00;2.00
98.00;2.00
99.00;2.00
100.00;2.00
101.00;2.00
102.00;2.00
103.00;2.00
104.00;2.00
105.00;2.00
106.00;2.00
107.00;2.00
108.00;2.00
109.00;2.00
110.00;2.00
111.00;2.00
112.00;2.00
113.00;2.00
114.00;2.00
115.00;2.00
116.00;2.00
117.00;2.00
118.00;2.00
119.00;2.00
120.00;2.00
121.00;2.00
122.00;2.00
123.00;2.00
124.00;2.00
125.00;2.00
126.00;2.00
127.00;2.00
128.00;4.00
129.00;4.00
130.00;4.00
131.00;4.00
132.00;4.00
133.00;4.00
134.00;4.00
135.00;4.00
136.00;4.00
137.00;4.00
138.00;4.00
139.00;4.00
140.00;4.00
141.00;4.00
142.00;4.00
143.00;4.00
144.00;4.00
145.00;4.00
146.00;4.00
147.00;4.00
148.00;4.00
149.00;4.00
150.00;4.00
151.00;4.00
152.00;4.00
153.00;4.00
154.00;4.00
155.00;4.00
156.00;4.00
157.00;4.00
158.00;4.00
159.00;4.00
160.00;4.00
161.00;4.00
162.00;4.00
163.00;4.00
164.00;4.00
165.00;4.00
166.00;4.00
167.00;4.00
168.00;4.00
169.00;4.00
170.00;4.00
171.00;4.00
172.00;4.00
173.00;4.00
174.00;4.00
175.00;4.00
176.00;4.00
177.00;4.00
178.00;4.00
179.00;4.00
180.00;4.00
181.00;4.00
182.00;4.00
183.00;4.00
184.00;4.00
185.00;4.00
186.00;4.00
187.00;4.00
188.00;4.00
189.00;4.00
190.00;4.00
191.00;4.00
192.00;4.00
193.00;4.00
194.00;4.00
195.00;4.00
196.00;4.00
197.00;4.00
198.00;4.00
199.00;4.00
200.00;4.00
201.00;4.00
202.00;4.00
203.00;4.00
204.00;4.00
205.00;4.00
206.00;4.00
207.00;4.00
208.00;4.00
209.00;4.00
210.00;4.00
211.00;4.00
212.00;4.00
213.00;4.00
214.00;4.00
215.00;4.00
216.00;4.00
217.00;4.00
218.00;4.00
219.00;4.00
220.00;4.00
221.00;4.00
222.00;4.00
223.00;4.00
224.00;4.00
225.00;4.00
226.00;4.00
227.00;4.00
228.00;4.00
229.00;4.00
230.00;4.00
231.00;4.00
232.00;4.00
233.00;4.00
234.00;4.00
235.00;4.00
236.00;4.00
237.00;4.00
238.00;4.00
239.00;4.00
240.00;4.00
241.00;4.00
242.00;4.00
243.00;4.00
244.00;4.00
245.00;4.00
246.00;4.00
247.00;4.00
248.00;4.00
249.00;4.00
250.00;4.00
251.00;4.00
252.00;4.00
253.00;4.00
254.00;4.00
255.00;4.00
256.00;4.00
257.00;4.00
258.00;4.00
259.00;4.00
260.00;4.00
261.00;4.00
262.00;4.00
263.00;4.00
264.00;4.00
265.00;4.00
266.00;4.00
267.00;4.00
268.00;4.00
269.00;4.00
270.00;4.00
271.00;4.00
272.00;4.00
273.00;4.00
274.00;4.00
275.00;4.00
276.00;4.00
277.00;4.00
278.00;4.00
279.00;4.00
280.00;4.00
281.00;4.00
282.00;4.00
283.00;4.00
284.00;4.00
285.00;4.00
286.00;4.00
287.00;4.00
288.00;4.00
289.00;4.00
290.00;4.00
291.00;4.00
292.00;4.00
293.00;4.00
294.00;4.00
295.00;4.00
296.00;4.00
297.00;4.00
298.00;4.00
299.00;4.00
300.00;4.00
301.00;4.00
302.00;4.00
303.00;4.00
304.00;4.00
305.00;4.00
306.00;4.00
307.00;4.00
308.00;4.00
309.00;4.00
310.00;4.00
311.00;4.00
312.00;4.00
313.00;4.00
314.00;4.00
315.00;4.00
316.00;4.00
317.00;4.00
318.00;4.00
319.00;4.00
320.00;4.00
321.00;4.00
322.00;4.00
323.00;4.00
324.00;4.00
325.00;4.00
326.00;4.00
327.00;4.00
328.00;4.00
329.00;4.00
330.00;4.00
331.00;4.00
332.00;4.00
333.00;4.00
334.00;4.00
335.00;4.00
336.00;4.00
337.00;4.00
338.00;4.00
339.00;4.00
340.00;4.00
341.00;4.00
342.00;4.00
343.00;4.00
344.00;4.00
345.00;4.00
346.00;4.00
347.00;4.00
348.00;4.00
349.00;4.00
350.00;4.00
351.00;4.00
352.00;4.00
353.00;4.00
354.00;4.00
355.00;4.00
356.00;4.00
357.00;4.00
358.00;4.00
359.00;4.00
360.00;4.00
361.00;4.00
362.00;4.00
363.00;4.00
364.00;4.00
365.00;4.00
366.00;4.00
367.00;4.00
368.00;4.00
369.00;4.00
370.00;4.00
371.00;4.00
372.00;4.00
373.00;4.00
374.00;4.00
375.00;4.00
376.00;4.00
377.00;4.00
378.00;4.00
379.00;4.00
380.00;4.00
381.00;4.00
382.00;4.00
383.00;4.00
384.00;4.00
385.00;4.00
386.00;4.00
387.00;4.00
388.00;4.00
389.00;4.00
390.00;4.00
391.00;4.00
392.00;4.00
393.00;4.00
394.00;4.00
395.00;4.00
396.00;4.00
397.00;4.00
398.00;4.00
399.00;4.00
400.00;4.00
401.00;4.00
402.00;4.00
403.00;4.00
404.00;4.00
405.00;4.00
406.00;4.00
407.00;4.00
408.00;4.00
409.00;4.00
410.00;4.00
411.00;4.00
412.00;4.00
413.00;4.00
414.00;4.00
415.00;4.00
416.00;4.00
417.00;4.00
418.00;4.00
419.00;4.00
420.00;4.00
421.00;4.00
422.00;4.00
423.00;4.00
424.00;4.00
425.00;4.00
426.00;4.00
427.00;4.00
428.00;4.00
429.00;4.00
430.00;4.00
431.00;4.00
432.00;4.00
433.00;4.00
434.00;4.00
435.00;4.00
436.00;4.00
437.00;4.00
438.00;4.00
439.00;4.00
440.00;4.00
441.00;4.00
442.00;4.00
443.00;4.00
444.00;4.00
445.00;4.00
446.00;4.00
447.00;5.00
448.00;5.00
449.00;5.00
450.00;5.00
451.00;5.00
452.00;5.00
453.00;5.00
454.00;5.00
455.00;5.00
456.00;5.00
457.00;5.00
458.00;5.00
459.00;5.00
460.00;5.00
461.00;5.00
462.00;5.00
463.00;5.00
464.00;5.00
465.00;5.00
466.00;5.00
467.00;5.00
468.00;5.00
469.00;5.00
470.00;5.00
471.00;5.00
472.00;5.00
473.00;5.00
474.00;5.00
475.00;5.00
476.00;5.00
477.00;5.00
478.00;5.00
479.00;5.00
480.00;5.00
481.00;5.00
482.00;5.00
483.00;5.00
484.00;5.00
485.00;5.00
486.00;5.00
487.00;5.00
488.00;5.00
489.00;5.00
490.00;5.00
491.00;5.00
492.00;5.00
493.00;5.00
494.00;5.00
495.00;5.00
496.00;5.00
497.00;5.00
498.00;5.00
499.00;5.00
500.00;5.00
501.00;5.00
502.00;5.00
503.00;5.00
504.00;5.00
505.00;5.00
506.00;5.00
507.00;5.00
508.00;5.00
509.00;5.00
510.00;5.00
511.00;5.00
512.00;5.00
513.00;5.00
514.00;5.00
515.00;5.00
516.00;5.00
517.00;5.00
518.00;5.00
519.00;5.00
520.00;5.00
521.00;5.00
522.00;5.00
523.00;5.00
524.00;5.00
525.00;5.00
526.00;5.00
527.00;5.00
528.00;5.00
529.00;5.00
530.00;5.00
531.00;5.00
532.00;5.00
533.00;5.00
534.00;5.00
535.00;5.00
536.00;5.00
537.00;5.00
538.00;5.00
539.00;5.00
540.00;5.00
541.00;5.00
542.00;5.00
543.00;5.00
544.00;5.00
545.00;5.00
546.00;5.00
547.00;5.00
548.00;5.00
549.00;5.00
550.00;5.00
551.00;5.00
552.00;5.00
553.00;5.00
554.00;5.00
555.00;5.00
556.00;5.00
557.00;5.00
558.00;5.00
559.00;5.00
560.00;5.00
561.00;5.00
562.00;5.00
563.00;5.00
564.00;5.00
565.00;5.00
566.00;5.00
567.00;5.00
568.00;5.00
569.00;5.00
570.00;5.00
571.00;5.00
572.00;5.00
573.00;5.00
574.00;5.00
575.00;5.00
576.00;5.00
577.00;5.00
578.00;5.00
579.00;5.00
580.00;5.00
581.00;5.00
582.00;5.00
583.00;5.00
584.00;5.00
585.00;5.00
586.00;5.00
587.00;5.00
588.00;5.00
589.00;5.00
590.00;5.00
591.00;5.00
592.00;5.00
593.00;5.00
594.00;5.00
595.00;5.00
596.00;5.00
597.00;5.00
598.00;5.00
599.00;5.00
600.00;5.00
601.00;5.00
602.00;5.00
603.00;5.00
604.00;5.00
605.00;5.00
606.00;5.00
607.00;5.00
608.00;5.00
609.00;5.00
610.00;5.00
611.00;5.00
612.00;5.00
613.00;5.00
614.00;5.00
615.00;5.00
616.00;5.00
617.00;5.00
618.00;5.00
619.00;5.00
620.00;5.00
621.00;5.00
622.00;5.00
623.00;5.00
624.00;5.00
625.00;5.00
626.00;5.00
627.00;5.00
628.00;5.00
629.00;5.00
630.00;5.00
631.00;5.00
632.00;5.00
633.00;5.00
634.00;5.00
635.00;5.00
636.00;5.00
